"filename", "language", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\Vitalii\Projects\pc-hub\backend\product\views.py", "Python", 119, 0, 0, 16, 46, 181
"c:\Users\Vitalii\Projects\pc-hub\backend\requirements.txt", "pip requirements", 0, 39, 0, 0, 1, 40
"c:\Users\Vitalii\Projects\pc-hub\backend\script_for_dump.py", "Python", 9, 0, 0, 1, 3, 13
"c:\Users\Vitalii\Projects\pc-hub\backend\user\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\user\admin.py", "Python", 9, 0, 0, 0, 4, 13
"c:\Users\Vitalii\Projects\pc-hub\backend\user\apps.py", "Python", 4, 0, 0, 0, 3, 7
"c:\Users\Vitalii\Projects\pc-hub\backend\user\migrations\0001_initial.py", "Python", 36, 0, 0, 1, 7, 44
"c:\Users\Vitalii\Projects\pc-hub\backend\user\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\user\models.py", "Python", 125, 0, 0, 0, 29, 154
"c:\Users\Vitalii\Projects\pc-hub\backend\user\serializers.py", "Python", 39, 0, 0, 0, 11, 50
"c:\Users\Vitalii\Projects\pc-hub\backend\user\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\Vitalii\Projects\pc-hub\backend\user\urls.py", "Python", 12, 0, 0, 0, 2, 14
"c:\Users\Vitalii\Projects\pc-hub\backend\user\views.py", "Python", 209, 0, 0, 0, 59, 268
"Total", "-", 2994, 39, 12025, 78, 821, 15957
